,rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address,Country,City,Latitude,Longitude
1111,1001,universidade federal do pernambuco,34072,12.8,1.0,50.0,22.1,26.9,9.2,14.3,35.9,20.8,"Av. Prof. Moraes Rego, 1235, Cidade Universitária, Recife, Pernambuco, 50670-901, Brazil",,,,,,Brazil, Recife,-8.0584933,-34.8848193
1112,1001,federal university rio grande do norte ufrn,42573,17.1,0.0,54.0,22.1,19.6,8.7,19.0,41.6,23.2,"Avenida Senador Salgado Filho S/N Caixa Postal 1524, Campus Universitário - Lagoa N, Natal, Rio Grande do Norte, 59072-970, Brazil",,,,,,Brazil, Natal,-5.805398,-35.2080905
1113,1001,universidade federal rural do semi arido,5872,7.7,0.0,42.0,22.1,27.5,7.7,1.7,34.4,14.0,"Av. Francisco Mota, 572 - Bairro Costa e Silva, Mossoro RN, Rio Grande do Norte, 59 625 900, Brazil",,,,,,Brazil, Brazil,-10.3333333,-53.2
1114,1001,universidade federal de santa maria,27285,14.1,0.0,54.0,22.1,20.4,8.8,13.5,35.0,17.4,"Av. Roraima 1000, Bairro Camobi, Santa Maria, 97105-900, Brazil",,,,,,Brazil, Santa Maria,-29.6860512,-53.8069214
1115,1001,universidade federal de sao carlos,19134,14.6,2.0,49.0,22.1,26.2,13.4,17.3,41.2,24.5,"Rodovia Washington Luís km 235, São Carlos 310, Sao Paulo, 13565-905, Brazil",,,,,,Brazil, Brazil,-10.3333333,-53.2
1116,1001,federal university vicosa,17595,14.0,2.0,50.0,22.1,28.1,14.3,12.3,47.6,20.1,"Avenida Peter Henry Rolfs, s/n, Campus Universitário, Viçosa, 36570-900, Brazil",,,,,,Brazil, Viçosa,-20.7538586,-42.8815888
1117,1001,feng chia university,19840,23.1,16.0,37.0,22.1,17.7,17.3,17.2,39.5,40.6,"No. 100, Wenhwa Rd, Seatwen, Taichung, 40724, Taiwan",,,,,,Taiwan, Taichung,24.163162,120.6478282
1118,1001,universidade federal fluminense,55502,15.4,0.0,50.0,22.1,20.0,11.3,14.8,35.2,23.5,"Rua Miguel de Frias, 9, Icaraí, Niterói, Rio de Janeiro, 24220-900, Brazil",,,,,,Brazil, Niterói,-22.8884,-43.1147
1119,1001,university fortaleza unifor,23923,15.2,0.0,49.0,22.1,14.8,7.3,41.4,34.4,29.1,"Av. Washington Soares, 1321 Edson Queiroz, CEP60811-905, Fortaleza - CE, Brazil",,,,,,Brazil, Brazil,-10.3333333,-53.2
1120,1001,universite freres mentouri constantine 1,35382,20.5,0.0,56.0,22.1,19.4,7.5,7.9,35.4,37.8,"325 Ain El Bey Way, Constantine, 25017, Algeria",,,,,,Algeria, Constantine,36.364519,6.60826
1121,1001,university fukui,5020,9.3,4.0,30.0,22.1,19.7,10.7,9.7,39.7,21.6,"3-9-1 Bunkyo, Fukui-shi, Fukui, 910-8507, Japan",,,,,,Japan, Fukui-shi,36.061751,136.2260542
1122,1001,universitas gadjah mada,38310,8.6,2.0,58.0,22.1,23.4,11.0,15.7,61.4,34.1,"Bulaksumur, Yogyakarta, 55281, Indonesia",,,,,,Indonesia, Yogyakarta,-7.977838399999999,110.36722565020224
1123,1001,gazi universitesi,77346,30.3,3.0,49.0,22.1,18.8,10.6,13.2,40.5,16.6,"Teknikokullar, Ankara, 06500, Turkey",,,,,,Turkey, Ankara,39.9207886,32.8540482
